Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
D,Jyrki Jokipakka,2500,Dal@Min 08:00PM ET,1,Dal
D,Brandon Manning,2500,Anh@Phi 07:00PM ET,1.105,Phi
D,Greg Pateryn,2500,TB@Mon 07:30PM ET,0.379,Mon
D,Matt Tennyson,2500,SJ@Chi 08:30PM ET,0.867,SJ
C,Jeremy Welsh,2500,Wpg@StL 08:00PM ET,0,StL
C,Paul Carey,2500,Was@Nsh 08:00PM ET,1.5,Was
RW,Bobby Farnham,2500,Edm@NJ 07:00PM ET,1.309,NJ
D,Griffin Reinhart,2500,Edm@NJ 07:00PM ET,1.139,Edm
LW,Stefan Matteau,2500,Edm@NJ 07:00PM ET,0.457,NJ
C,Devin Shore,2500,Dal@Min 08:00PM ET,0.125,Dal
RW,Josh Anderson,2500,NYI@Cls 07:00PM ET,1.3,Cls
D,Connor Carrick,2500,Was@Nsh 08:00PM ET,0.417,Was
D,Jaycob Megna,2500,Anh@Phi 07:00PM ET,0,Anh
D,Andrej Sustr,2500,TB@Mon 07:30PM ET,1.347,TB
D,Seth Helgeson,2500,Edm@NJ 07:00PM ET,0.5,NJ
C,Corban Knight,2500,Fla@Buf 07:00PM ET,1.071,Fla
RW,Sven Andrighetto,2500,TB@Mon 07:30PM ET,1.343,Mon
D,Chris Bigras,2500,Van@Col 09:00PM ET,0.682,Col
D,Gustav Olofsson,2500,Dal@Min 08:00PM ET,0.167,Min
RW,J.C. Lipon,2500,Wpg@StL 08:00PM ET,0.25,Wpg
C,Andrew Copp,2500,Wpg@StL 08:00PM ET,0.592,Wpg
RW,Joel Vermin,2500,TB@Mon 07:30PM ET,0.438,TB
D,Christian Folin,2500,Dal@Min 08:00PM ET,0.861,Min
C,Dennis Rasmussen,2500,SJ@Chi 08:30PM ET,1.31,Chi
RW,Jake Virtanen,2500,Van@Col 09:00PM ET,1.25,Van
LW,Jakub Vrana,2500,Was@Nsh 08:00PM ET,0,Was
LW,Jiri Sekac,2500,SJ@Chi 08:30PM ET,0.982,Chi
LW,Andreas Martinsen,2500,Van@Col 09:00PM ET,1.244,Col
D,Jakub Nakladal,2500,Tor@Cgy 09:00PM ET,0,Cgy
RW,Sergey Kalinin,2500,Edm@NJ 07:00PM ET,1.088,NJ
LW,Paul Bittner,2500,NYI@Cls 07:00PM ET,0,Cls
