Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
D,Fedor Tyutin,2500,NYI@Cls 07:00PM ET,0.696,Cls
D,Carlo Colaiacovo,2500,Fla@Buf 07:00PM ET,0.763,Buf
LW,Shawn Thornton,2500,Fla@Buf 07:00PM ET,0.418,Fla
LW,Travis Moen,2500,Dal@Min 08:00PM ET,0.481,Dal
C,Paul Gaustad,2500,Was@Nsh 08:00PM ET,0.978,Nsh
D,Rob Scuderi,2500,SJ@Chi 08:30PM ET,0.851,Chi
LW,Tuomo Ruutu,2500,Edm@NJ 07:00PM ET,0.45,NJ
D,Matt Greene,2500,LA@Bos 07:00PM ET,0.667,LA
D,Nate Guenin,2500,Van@Col 09:00PM ET,0.551,Col
RW,Steve Bernier,2500,NYI@Cls 07:00PM ET,0.769,NYI
D,Mark Stuart,2500,Wpg@StL 08:00PM ET,1.298,Wpg
C,Mike Richards,2500,Was@Nsh 08:00PM ET,0.292,Was
D,Matthew Carle,2500,TB@Mon 07:30PM ET,0.841,TB
RW,Chris Thorburn,2500,Wpg@StL 08:00PM ET,1.106,Wpg
C,Max Talbot,2500,LA@Bos 07:00PM ET,1.088,Bos
LW,Ryane Clowe,2500,Edm@NJ 07:00PM ET,0,NJ
C,Kyle Brodziak,2500,Wpg@StL 08:00PM ET,0.644,StL
RW,Rene Bourque,2500,NYI@Cls 07:00PM ET,1.348,Cls
D,Ladislav Smid,2500,Tor@Cgy 09:00PM ET,0.712,Cgy
C,Nate Thompson,2500,Anh@Phi 07:00PM ET,1.068,Anh
RW,Jack Skille,2500,Van@Col 09:00PM ET,1.409,Col
D,Matt Lashoff,2500,TB@Mon 07:30PM ET,0,Mon
RW,Adam Cracknell,2500,Van@Col 09:00PM ET,1.087,Van
RW,Mike Blunden,2500,TB@Mon 07:30PM ET,1.45,TB
C,Cody Bass,2500,Was@Nsh 08:00PM ET,0.542,Nsh
RW,Jiri Tlusty,2500,Edm@NJ 07:00PM ET,1.109,NJ
D,Adam Pardy,2500,Wpg@StL 08:00PM ET,0.31,Wpg
D,Kyle Cumiskey,2500,SJ@Chi 08:30PM ET,0,Chi
LW,Cody McLeod,2500,Van@Col 09:00PM ET,1.173,Col
C,Cal O'Reilly,2500,Fla@Buf 07:00PM ET,0.5,Buf
RW,Torrey Mitchell,2500,TB@Mon 07:30PM ET,1.535,Mon
RW,Jared Boll,2500,NYI@Cls 07:00PM ET,0.44,Cls
RW,Derek Dorsett,2500,Van@Col 09:00PM ET,1.394,Van
RW,Ryan Reaves,2500,Wpg@StL 08:00PM ET,0.415,StL
LW,Matt Hendricks,2500,Edm@NJ 07:00PM ET,1.463,Edm
D,Mike Weber,2500,Fla@Buf 07:00PM ET,0.917,Buf
LW,Chris Porter,2500,Dal@Min 08:00PM ET,0.673,Min
C,Jesse Winchester,2500,Van@Col 09:00PM ET,0,Col
C,Stephen Gionta,2500,Edm@NJ 07:00PM ET,0.943,NJ
D,Taylor Chorney,2500,Was@Nsh 08:00PM ET,0.891,Was
C,Nick Spaling,2500,Tor@Cgy 09:00PM ET,0.922,Tor
D,Justin Falk,2500,NYI@Cls 07:00PM ET,1.386,Cls
LW,Brandon Mashinter,2500,SJ@Chi 08:30PM ET,0.382,Chi
RW,Anthony Peluso,2500,Wpg@StL 08:00PM ET,0.473,Wpg
D,Jamie McBain,2500,LA@Bos 07:00PM ET,1.205,LA
D,Paul Postma,2500,Wpg@StL 08:00PM ET,0.06,Wpg
LW,Magnus Paajarvi,2500,Wpg@StL 08:00PM ET,1.429,StL
RW,Jordan Caron,2500,Wpg@StL 08:00PM ET,0.083,StL
RW,Erik Condra,2500,TB@Mon 07:30PM ET,0.929,TB
D,Brent Regner,2500,Fla@Buf 07:00PM ET,1,Fla
D,Brian Strait,2500,NYI@Cls 07:00PM ET,1.025,NYI
LW,Zac Rinaldo,2500,LA@Bos 07:00PM ET,0.685,Bos
LW,Matt Martin,2500,NYI@Cls 07:00PM ET,1.235,NYI
D,Robert Bortuzzo,2500,Wpg@StL 08:00PM ET,0.891,StL
LW,Kyle Clifford,2500,LA@Bos 07:00PM ET,0.741,LA
C,Casey Cizikas,2500,NYI@Cls 07:00PM ET,1.529,NYI
D,Nate Prosser,2500,Dal@Min 08:00PM ET,0.844,Min
LW,Brandon Bollig,2500,Tor@Cgy 09:00PM ET,0.712,Cgy
C,Chris VandeVelde,2500,Anh@Phi 07:00PM ET,1.314,Phi
C,Michael Latta,2500,Was@Nsh 08:00PM ET,0.767,Was
RW,Gabriel Bourque,2500,Was@Nsh 08:00PM ET,1.477,Nsh
D,Matt Bartkowski,2500,Van@Col 09:00PM ET,1.265,Van
D,Alex Biega,2500,Van@Col 09:00PM ET,1.241,Van
C,Landon Ferraro,2500,LA@Bos 07:00PM ET,1.155,Bos
C,Jordan Nolan,2500,LA@Bos 07:00PM ET,0.696,LA
C,Alex Burmistrov,2500,Wpg@StL 08:00PM ET,1.346,Wpg
LW,Austin Watson,2500,Was@Nsh 08:00PM ET,1.033,Nsh
D,Mark Pysyk,2500,Fla@Buf 07:00PM ET,0.9,Buf
C,Quinton Howden,2500,Fla@Buf 07:00PM ET,1.02,Fla
RW,Tyler Pitlick,2500,Edm@NJ 07:00PM ET,0,Edm
RW,Devante Smith-Pelly,2500,TB@Mon 07:30PM ET,1.222,Mon
D,Martin Marincin,2500,Tor@Cgy 09:00PM ET,0.598,Tor
LW,Johan Larsson,2500,Fla@Buf 07:00PM ET,1.038,Buf
C,Jordan Weal,2500,Anh@Phi 07:00PM ET,0.045,Phi
